                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70446,                 3.0456,                 3.2736,                  1.221,                0.00344,                      1,                0.09738,                0.06439,                0.00339,                0.98333,                0.07347,                0.05646,                 0.5066,                 1.4413,                 3.7587,                 1.1418,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 0.6303,                 1.9125,                 3.2028,                 1.1572,                0.00337,                      1,                0.34057,                0.27783,                0.00337,                      1,                0.33403,                0.28002,                0.50708,                 1.1459,                 3.7482,                 1.1283,             8.5768e-05,             8.5768e-05,             8.5768e-05
                      3,                0.62279,                 1.4651,                  2.992,                 1.1562,                0.00349,                      1,                0.39645,                0.31108,                0.00349,                      1,                0.39779,                 0.3169,                0.52311,                 1.3033,                 3.7401,                 1.1739,             0.00013205,             0.00013205,             0.00013205
                      4,                0.60455,                 1.2377,                 2.7401,                 1.1301,                0.00374,                      1,                0.39276,                0.28115,                0.00365,                0.98333,                0.38421,                 0.2994,                 0.5839,                 1.5348,                 3.6806,                 1.2358,             0.00017636,             0.00017636,             0.00017636
                      5,                0.59772,                 1.2012,                 2.4868,                 1.0915,                0.00379,                      1,                0.40437,                 0.3078,                0.00379,                      1,                0.40246,                0.32601,                0.56057,                 1.2383,                  3.548,                 1.1878,             0.00021869,             0.00021869,             0.00021869
                      6,                0.54643,                0.99304,                 2.2754,                 1.0629,                0.00367,                      1,                0.40925,                0.33551,                0.00367,                      1,                0.40925,                0.34648,                0.49346,                0.94719,                 3.3744,                 1.1404,             0.00025904,             0.00025904,             0.00025904
                      7,                0.56438,                 1.0592,                 2.2054,                 1.0851,                0.28155,                0.73683,                0.42872,                0.36422,                0.28155,                0.73683,                0.42872,                0.37069,                0.50836,                0.90392,                 3.2422,                 1.1506,              0.0002974,              0.0002974,              0.0002974
                      8,                0.65125,                 1.0384,                 2.1079,                  1.163,                0.88293,                0.12275,                0.52477,                0.43426,                0.88293,                0.12275,                0.52477,                0.45392,                0.60369,                 1.0172,                 3.1163,                 1.2638,             0.00033379,             0.00033379,             0.00033379
                      9,                0.61111,                 1.0879,                  2.003,                 1.0911,                0.71356,                0.55352,                0.62848,                0.48837,                0.71356,                0.55352,                0.62848,                 0.5267,                 0.6928,                 1.0824,                 2.8893,                 1.3732,              0.0003682,              0.0003682,              0.0003682
                     10,                0.62623,                 1.0006,                 1.8986,                 1.1317,                0.71037,                0.46382,                0.68132,                0.47543,                0.71037,                0.46382,                0.68132,                0.50717,                0.84768,                 1.1868,                  2.972,                 1.4893,             0.00040063,             0.00040063,             0.00040063
                     11,                 0.6762,                 1.0302,                 1.7936,                 1.1225,                0.79973,                0.60856,                0.78637,                0.57985,                0.79973,                0.60856,                0.78637,                0.59949,                0.77262,                 1.0403,                 2.7581,                  1.437,             0.00043108,             0.00043108,             0.00043108
                     12,                0.65161,                0.99175,                 1.7408,                 1.1288,                0.54357,                0.50724,                0.64123,                0.49833,                0.54357,                0.50724,                0.63706,                0.53004,                0.76912,                0.86839,                 2.7234,                 1.4445,             0.00045954,             0.00045954,             0.00045954
                     13,                0.56613,                0.93363,                 1.5528,                 1.0601,                0.46727,                0.42552,                0.56088,                0.42057,                0.46727,                0.42552,                0.56088,                0.43193,                0.75357,                 1.2991,                 2.9022,                 1.4183,             0.00048603,             0.00048603,             0.00048603
                     14,                0.61284,                0.96013,                 1.5732,                 1.0904,                0.44816,                0.52919,                  0.602,                0.42153,                0.47824,                0.56373,                0.60681,                0.45326,                0.74101,                 1.4433,                 2.7908,                 1.3905,             0.00051054,             0.00051054,             0.00051054
                     15,                0.66827,                 1.0054,                 1.6266,                 1.1068,                0.58938,                0.67248,                0.72255,                0.46477,                0.59579,                0.66551,                0.71839,                0.52936,                 0.8155,                 1.3673,                  2.614,                 1.4703,             0.00053306,             0.00053306,             0.00053306
                     16,                0.68342,                 1.0946,                 1.5939,                 1.1275,                0.67559,                0.63913,                0.78122,                 0.5586,                0.66165,                 0.6445,                0.78195,                0.61631,                0.73339,                 1.3034,                 2.4701,                 1.4077,             0.00055361,             0.00055361,             0.00055361
                     17,                 0.6538,                0.89677,                 1.5422,                 1.1192,                0.71765,                0.67363,                0.83913,                0.67692,                0.71765,                0.67363,                0.83913,                0.70694,                0.66272,                 1.2002,                 2.2854,                 1.3277,             0.00057218,             0.00057218,             0.00057218
                     18,                0.61009,                0.88686,                 1.5027,                 1.0577,                0.74987,                 0.8598,                0.85618,                0.61577,                0.74987,                 0.8598,                0.85618,                0.69078,                0.76499,                0.95074,                 2.3784,                 1.4137,             0.00058877,             0.00058877,             0.00058877
                     19,                0.63925,                  1.017,                 1.4607,                 1.1068,                 0.7564,                0.82906,                0.87669,                0.65542,                 0.7564,                0.82906,                0.87669,                0.70405,                0.72977,                0.93494,                 2.3574,                 1.3552,             0.00060338,             0.00060338,             0.00060338
                     20,                0.64075,                 1.0177,                 1.4222,                 1.1126,                0.76408,                 0.8032,                0.89572,                0.73771,                0.76408,                 0.8032,                0.89572,                0.75483,                0.66148,                 1.0016,                 2.0916,                 1.2813,               0.000616,               0.000616,               0.000616
                     21,                0.61893,                0.85514,                 1.2963,                 1.0845,                0.89777,                0.69967,                0.92397,                0.69581,                0.87895,                0.68985,                0.91947,                0.70267,                0.83396,                 1.5021,                 2.3399,                 1.4894,             0.00062665,             0.00062665,             0.00062665
